Year,Sex,LifeExpectancy
1940,Male,61.4
1941,Male,61.9
1942,Male,62.6
1943,Male,62.3
1944,Male,62.7
1945,Male,62.9
1946,Male,64.3
1947,Male,64.6
1948,Male,64.8
1949,Male,65.3
1950,Male,65.6
1951,Male,65.7
1952,Male,65.8
1953,Male,66.0
1954,Male,66.7
1955,Male,66.7
1956,Male,66.7
1957,Male,66.5
1958,Male,66.6
1959,Male,66.8
1960,Male,66.7
1961,Male,67.1
1962,Male,66.9
1963,Male,66.6
1964,Male,66.8
1965,Male,66.8
1966,Male,66.7
1967,Male,67.0
1968,Male,66.6
1969,Male,66.9
1970,Male,67.2
1971,Male,67.4
1972,Male,67.4
1973,Male,67.6
1974,Male,68.3
1975,Male,68.7
1976,Male,69.1
1977,Male,69.4
1978,Male,69.6
1979,Male,70.0
1980,Male,69.9
1981,Male,70.4
1982,Male,70.8
1983,Male,70.9
1984,Male,71.1
1985,Male,71.1
1986,Male,71.1
1987,Male,71.3
1988,Male,71.2
1989,Male,71.5
1990,Male,71.8
1991,Male,71.9
1992,Male,72.2
1993,Male,72.0
1994,Male,72.2
1995,Male,72.4
1996,Male,72.8
1997,Male,73.3
1998,Male,73.5
1999,Male,73.6
2000,Male,73.7
2001,Male,73.8
2002,Male,76.46
2003,Male,76.51
2004,Male,76.57
2005,Male,76.62
2006,Male,76.67
2007,Male,76.72
2008,Male,76.78
2009,Male,76.83
2010,Male,76.88
2011,Male,76.93
2012,Male,76.98
2013,Male,77.03
2014,Male,77.08
2015,Male,77.13
2016,Male,77.18
2017,Male,77.23
2018,Male,77.28
2019,Male,77.32
2020,Male,77.37
2021,Male,77.42
2022,Male,77.47
2023,Male,77.51
2024,Male,77.56
2025,Male,77.61
2026,Male,77.65
2027,Male,77.7
2028,Male,77.75
2029,Male,77.79
2030,Male,77.84
2031,Male,77.88
2032,Male,77.92
2033,Male,77.97
2034,Male,78.01
2035,Male,78.06
2036,Male,78.1
2037,Male,78.14
2038,Male,78.18
2039,Male,78.23
2040,Male,78.27
2041,Male,78.31
2042,Male,78.35
2043,Male,78.39
2044,Male,78.43
2045,Male,78.47
2046,Male,78.51
2047,Male,78.55
2048,Male,78.59
2049,Male,78.63
2050,Male,78.67
2051,Male,78.71
2052,Male,78.75
2053,Male,78.79
2054,Male,78.83
2055,Male,78.87
2056,Male,78.91
2057,Male,78.94
2058,Male,78.98
2059,Male,79.02
2060,Male,79.06
2061,Male,79.09
2062,Male,79.13
2063,Male,79.17
2064,Male,79.2
2065,Male,79.24
2066,Male,79.27
2067,Male,79.31
2068,Male,79.35
2069,Male,79.38
2070,Male,79.42
2071,Male,79.45
2072,Male,79.48
2073,Male,79.52
2074,Male,79.55
2075,Male,79.59
2076,Male,79.62
2077,Male,79.66
2078,Male,79.69
2079,Male,79.72
2080,Male,79.76
1940,Female,65.7
1941,Female,66.5
1942,Female,67.4
1943,Female,67.1
1944,Female,67.8
1945,Female,68.4
1946,Female,69.2
1947,Female,69.7
1948,Female,70.2
1949,Female,70.7
1950,Female,71.1
1951,Female,71.4
1952,Female,71.6
1953,Female,72.0
1954,Female,72.8
1955,Female,72.8
1956,Female,72.9
1957,Female,72.7
1958,Female,72.9
1959,Female,73.2
1960,Female,73.2
1961,Female,73.6
1962,Female,73.5
1963,Female,73.4
1964,Female,73.7
1965,Female,73.8
1966,Female,73.9
1967,Female,74.3
1968,Female,74.2
1969,Female,74.6
1970,Female,74.9
1971,Female,75.1
1972,Female,75.2
1973,Female,75.5
1974,Female,76.0
1975,Female,76.6
1976,Female,76.8
1977,Female,77.2
1978,Female,77.3
1979,Female,77.7
1980,Female,77.5
1981,Female,77.9
1982,Female,78.2
1983,Female,78.1
1984,Female,78.2
1985,Female,78.2
1986,Female,78.3
1987,Female,78.4
1988,Female,78.3
1989,Female,78.6
1990,Female,78.9
1991,Female,79.0
1992,Female,79.2
1993,Female,78.9
1994,Female,79.0
1995,Female,79.0
1996,Female,79.1
1997,Female,79.3
1998,Female,79.3
1999,Female,79.2
2000,Female,79.4
2001,Female,79.4
2002,Female,81.5
2003,Female,81.54
2004,Female,81.58
2005,Female,81.62
2006,Female,81.67
2007,Female,81.71
2008,Female,81.75
2009,Female,81.79
2010,Female,81.83
2011,Female,81.87
2012,Female,81.91
2013,Female,81.95
2014,Female,81.98
2015,Female,82.02
2016,Female,82.06
2017,Female,82.1
2018,Female,82.14
2019,Female,82.18
2020,Female,82.21
2021,Female,82.25
2022,Female,82.29
2023,Female,82.32
2024,Female,82.36
2025,Female,82.4
2026,Female,82.43
2027,Female,82.47
2028,Female,82.5
2029,Female,82.54
2030,Female,82.57
2031,Female,82.61
2032,Female,82.64
2033,Female,82.68
2034,Female,82.71
2035,Female,82.74
2036,Female,82.78
2037,Female,82.81
2038,Female,82.84
2039,Female,82.88
2040,Female,82.91
2041,Female,82.94
2042,Female,82.97
2043,Female,83.01
2044,Female,83.04
2045,Female,83.07
2046,Female,83.1
2047,Female,83.13
2048,Female,83.16
2049,Female,83.19
2050,Female,83.22
2051,Female,83.25
2052,Female,83.28
2053,Female,83.31
2054,Female,83.34
2055,Female,83.37
2056,Female,83.4
2057,Female,83.43
2058,Female,83.46
2059,Female,83.49
2060,Female,83.52
2061,Female,83.55
2062,Female,83.58
2063,Female,83.6
2064,Female,83.63
2065,Female,83.66
2066,Female,83.69
2067,Female,83.71
2068,Female,83.74
2069,Female,83.77
2070,Female,83.8
2071,Female,83.82
2072,Female,83.85
2073,Female,83.88
2074,Female,83.9
2075,Female,83.93
2076,Female,83.96
2077,Female,83.98
2078,Female,84.01
2079,Female,84.03
2080,Female,84.06
