,LifeExpectancy
0,75.81824452453287
1,77.56026254504974
2,74.93543714382162
3,73.55
4,76.07777777777778
5,77.60000000000001
6,73.93438523857748
7,74.13731622203817
8,73.61111111111111
9,74.08333333333333
10,73.92222222222222
11,74.7
12,74.82327412746636
13,74.6
14,73.3
15,76.53571428571429
16,73.62857142857142
17,73.46000000000001
18,77.89999999999999
19,75.17210479622837
20,74.51666666666667
21,75.15
22,76.5863905105141
23,72.47333333333333
24,75.02142857142857
25,75.86792895295963
26,74.0566074607997
27,72.90729780981314
28,73.42
29,73.36666666666666
30,74.81666666666666
31,76.40315571573241
32,75.48333333333333
33,75.81666666666666
34,75.96818181818182
35,73.57272727272726
36,74.31629940419131
37,74.86666666666667
38,74.65454545454546
39,74.75765936604382
40,77.66066179958477
41,75.98125
42,73.7
43,73.50912226226644
44,76.90201829775323
45,75.2
46,74.85118339339965
47,74.83333333333333
48,74.55655772712322
49,75.04285714285713
50,75.16160213260261
51,75.74849878322954
52,75.36982238239908
53,74.32000000000001
54,75.78868339339965
55,74.45
56,72.8
57,78.35267503003315
58,74.98534362670748
59,75.875
60,72.72272727272728
61,74.71000000000001
62,75.3712199092763
63,71.43888888888888
64,75.56189342943944
65,76.27973357359862
66,75.45849530674245
67,86.9
68,77.75
69,78.0646691433306
70,78.73333333333333
71,79.9
72,78.30946714719724
73,83.25
74,78.1383369179785
75,82.6
76,78.80473357359861
77,81.16666666666667
78,80.02380516516902
79,79.85
80,79.5637868588789
81,78.30946714719724
82,77.0
83,78.95872779779988
84,82.2
85,78.46982238239907
86,77.5
87,84.6
88,77.97736678679931
89,79.0
90,80.8
91,77.85
92,80.96666666666667
93,78.30946714719724
94,78.7
95,78.30946714719724
96,76.275
97,75.74374999999999
98,78.18243339339965
99,78.85815719434255
100,78.47052509009949
101,78.25555555555555
102,81.23648904906575
103,77.07988158826605
104,78.54093428958205
105,75.54550704379496
106,76.7651269127224
107,78.3062191290089
108,78.55230763884752
109,81.18094671471972
110,78.76756829973307
111,78.1470037149959
112,74.725
113,76.52992387817105
114,75.60105190524413
115,78.14732518968151
116,76.48571428571428
117,73.32000000000001
118,74.6
119,76.96000000000001
120,74.45
121,74.97999999999999
122,73.66666666666667
123,76.71428571428571
124,76.75
125,77.14
126,75.05
127,75.78235294117647
128,75.52727272727272
129,74.30689342943944
130,73.8
131,75.56982238239908
132,75.08
133,75.56
134,76.19275737177578
135,74.7
136,76.6
137,74.48547335735987
138,75.625
139,75.6
140,76.72
141,73.41428571428571
142,74.53333333333333
143,76.77618339339966
144,78.44999999999999
145,74.42
146,73.42956113113321
147,77.31666666666666
148,73.55
149,76.95
150,73.475
151,76.025
152,75.6
153,75.88333333333334
154,75.20684169669983
155,75.5
156,75.475
