State,County,LifeExpectancy,LifeExpectancyStandardError
Alabama,Autauga County,75.81824452453287,1.7216887060423742
Alabama,Baldwin County,77.56026254504974,1.5945717721488355
Alabama,Barbour County,74.93543714382162,1.627484941389832
Alabama,Bibb County,73.55,1.642525
Alabama,Blount County,76.07777777777778,1.316611111111111
Alabama,Bullock County,77.60000000000001,2.4476666666666667
Alabama,Butler County,73.93438523857748,1.7884924706949161
Alabama,Calhoun County,74.13731622203817,1.5945836586298536
Alabama,Chambers County,73.61111111111111,1.6510888888888888
Alabama,Cherokee County,74.08333333333333,1.4108333333333334
Alabama,Chilton County,73.92222222222222,1.5941111111111113
Alabama,Choctaw County,74.7,1.69975
Alabama,Clarke County,74.82327412746636,1.9520813595838051
Alabama,Clay County,74.6,1.5299749999999999
Alabama,Cleburne County,73.3,1.478425
Alabama,Coffee County,76.53571428571429,1.5844357142857142
Alabama,Colbert County,73.62857142857142,1.5457714285714288
Alabama,Conecuh County,73.46000000000001,2.08354
Alabama,Coosa County,77.89999999999999,1.89
Alabama,Covington County,75.17210479622837,1.7417737311610175
Alabama,Crenshaw County,74.51666666666667,1.8554833333333332
Alabama,Cullman County,75.15,1.54625
Alabama,Dale County,76.5863905105141,1.9288023025895888
Alabama,Dallas County,72.47333333333333,1.8411333333333333
Alabama,DeKalb County,75.02142857142857,1.2904214285714286
Alabama,Elmore County,75.86792895295963,1.6125576315005659
Alabama,Escambia County,74.0566074607997,1.621892470694916
Alabama,Etowah County,72.90729780981314,1.7140421490836164
Alabama,Fayette County,73.42,1.28428
Alabama,Franklin County,73.36666666666666,1.5747555555555557
Alabama,Geneva County,74.81666666666666,1.0418
Alabama,Greene County,76.40315571573241,1.801844078751415
Alabama,Hale County,75.48333333333333,2.092633333333333
Alabama,Henry County,75.81666666666666,1.8814166666666665
Alabama,Houston County,75.96818181818182,1.3573227272727273
Alabama,Jackson County,73.57272727272726,1.3812727272727272
Alabama,Jefferson County,74.31629940419131,1.8027876896780701
Alabama,Lamar County,74.86666666666667,1.7614
Alabama,Lauderdale County,74.65454545454546,1.4937000000000002
Alabama,Lawrence County,74.75765936604382,1.7761182747231656
Alabama,Lee County,77.66066179958477,1.9873566275932215
Alabama,Limestone County,75.98125,1.5689
Alabama,Lowndes County,73.7,1.9185
Alabama,Macon County,73.50912226226644,2.251219353021187
Alabama,Madison County,76.90201829775323,1.7600707011133043
Alabama,Marengo County,75.2,1.5573166666666667
Alabama,Marion County,74.85118339339965,1.5270915295317806
Alabama,Marshall County,74.83333333333333,1.390111111111111
Alabama,Mobile County,74.55655772712322,1.7901126486851886
Alabama,Monroe County,75.04285714285713,1.992642857142857
Alabama,Montgomery County,75.16160213260261,1.9096808399814875
Alabama,Morgan County,75.74849878322954,1.7761493420834906
Alabama,Perry County,75.36982238239908,1.8108107454180817
Alabama,Pickens County,74.32000000000001,1.5406
Alabama,Pike County,75.78868339339965,1.8060915295317805
Alabama,Randolph County,74.45,1.3893666666666666
Alabama,Russell County,72.8,1.5916846153846154
Alabama,Shelby County,78.35267503003315,1.9628707647658903
Alabama,St. Clair County,74.98534362670748,1.472456325865711
Alabama,Sumter County,75.875,2.4039
Alabama,Talladega County,72.72272727272728,1.7593590909090908
Alabama,Tallapoosa County,74.71000000000001,1.7632100000000002
Alabama,Tuscaloosa County,75.3712199092763,1.7632332166227918
Alabama,Walker County,71.43888888888888,1.463272222222222
Alabama,Washington County,75.56189342943944,1.752546447250849
Alabama,Wilcox County,76.27973357359862,1.8753911181271223
Alabama,Winston County,75.45849530674245,1.6434331766077492
Alaska,Aleutians East Borough,86.9,1.5971
Alaska,Aleutians West Census Area,77.75,2.37025
Alaska,Anchorage Municipality,78.0646691433306,1.998672607591372
Alaska,Bethel Census Area,78.73333333333333,2.0136
Alaska,Bristol Bay Borough,79.9,3.4288
Alaska,Denali Borough,78.30946714719724,1.8558322362542448
Alaska,Dillingham Census Area,83.25,2.62505
Alaska,Fairbanks North Star Borough,78.1383369179785,2.2610419320401443
Alaska,Haines Borough,82.6,2.0412
Alaska,Hoonah-Angoon Census Area,78.80473357359861,1.5009161181271224
Alaska,Juneau City and Borough,81.16666666666667,2.3977
Alaska,Kenai Peninsula Borough,80.02380516516902,1.8869563258657112
Alaska,Ketchikan Gateway Borough,79.85,1.5941750000000001
Alaska,Kodiak Island Borough,79.5637868588789,2.296792894501698
Alaska,Kusilvak Census Area,78.30946714719724,1.8558322362542448
Alaska,Lake and Peninsula Borough,77.0,0.8609
Alaska,Matanuska-Susitna Borough,78.95872779779988,2.0471305098439267
Alaska,Nome Census Area,82.2,1.923
Alaska,North Slope Borough,78.46982238239907,2.2441107454180815
Alaska,Northwest Arctic Borough,77.5,1.15045
Alaska,Petersburg Census Area,84.6,2.0496
Alaska,Prince of Wales-Hyder Census Area,77.97736678679931,1.4043830590635613
Alaska,Sitka City and Borough,79.0,1.31
Alaska,Skagway Municipality,80.8,1.7952
Alaska,Southeast Fairbanks Census Area,77.85,1.03915
Alaska,Valdez-Cordova Census Area,80.96666666666667,2.3625666666666665
Alaska,Wade Hampton Census Area,78.30946714719724,1.8558322362542448
Alaska,Wrangell City and Borough,78.7,0.9151
Alaska,Yakutat City and Borough,78.30946714719724,1.8558322362542448
Alaska,Yukon-Koyukuk Census Area,76.275,1.74
Arizona,Apache County,75.74374999999999,1.08964375
Arizona,Cochise County,78.18243339339965,1.9891009045317807
Arizona,Coconino County,78.85815719434255,1.7761641681700977
Arizona,Gila County,78.47052509009949,1.911343544297671
Arizona,Graham County,78.25555555555555,1.700388888888889
Arizona,Greenlee County,81.23648904906575,2.6790107454180814
Arizona,La Paz County,77.07988158826605,1.7777738302787212
Arizona,Maricopa County,78.54093428958205,2.0312073071268237
Arizona,Mohave County,75.54550704379496,1.7466324050587319
Arizona,Navajo County,76.7651269127224,1.663747241048661
Arizona,Pima County,78.3062191290089,1.9390131824121954
Arizona,Pinal County,78.55230763884752,2.193576254284069
Arizona,Santa Cruz County,81.18094671471972,2.0011732236254245
Arizona,Yavapai County,78.76756829973307,1.8196887844051663
Arizona,Yuma County,78.1470037149959,1.9868561841143308
Arkansas,Arkansas County,74.725,1.91135
Arkansas,Ashley County,76.52992387817105,1.5814046051791777
Arkansas,Baxter County,75.60105190524413,1.5238480262504717
Arkansas,Benton County,78.14732518968151,1.7907543769899692
Arkansas,Boone County,76.48571428571428,1.4552571428571428
Arkansas,Bradley County,73.32000000000001,1.7514600000000002
Arkansas,Calhoun County,74.6,1.3228
Arkansas,Carroll County,76.96000000000001,1.58792
Arkansas,Chicot County,74.45,1.74885
Arkansas,Clark County,74.97999999999999,1.3173400000000002
