Year,Male,Female
1940,61.4,65.7
1941,61.9,66.5
1942,62.6,67.4
1943,62.3,67.1
1944,62.7,67.8
1945,62.9,68.4
1946,64.3,69.2
1947,64.6,69.7
1948,64.8,70.2
1949,65.3,70.7
1950,65.6,71.1
1951,65.7,71.4
1952,65.8,71.6
1953,66,72
1954,66.7,72.8
1955,66.7,72.8
1956,66.7,72.9
1957,66.5,72.7
1958,66.6,72.9
1959,66.8,73.2
1960,66.7,73.2
1961,67.1,73.6
1962,66.9,73.5
1963,66.6,73.4
1964,66.8,73.7
1965,66.8,73.8
1966,66.7,73.9
1967,67,74.3
1968,66.6,74.2
1969,66.9,74.6
1970,67.2,74.9
1971,67.4,75.1
1972,67.4,75.2
1973,67.6,75.5
1974,68.3,76
1975,68.7,76.6
1976,69.1,76.8
1977,69.4,77.2
1978,69.6,77.3
1979,70,77.7
1980,69.9,77.5
1981,70.4,77.9
1982,70.8,78.2
1983,70.9,78.1
1984,71.1,78.2
1985,71.1,78.2
1986,71.1,78.3
1987,71.3,78.4
1988,71.2,78.3
1989,71.5,78.6
1990,71.8,78.9
1991,71.9,79
1992,72.2,79.2
1993,72,78.9
1994,72.2,79
1995,72.4,79
1996,72.8,79.1
1997,73.3,79.3
1998,73.5,79.3
1999,73.6,79.2
2000,73.7,79.4
2001,73.8,79.4
