Year,Male,Female
2002,76.46,81.5
2003,76.51,81.54
2004,76.57,81.58
2005,76.62,81.62
2006,76.67,81.67
2007,76.72,81.71
2008,76.78,81.75
2009,76.83,81.79
2010,76.88,81.83
2011,76.93,81.87
2012,76.98,81.91
2013,77.03,81.95
2014,77.08,81.98
2015,77.13,82.02
2016,77.18,82.06
2017,77.23,82.1
2018,77.28,82.14
2019,77.32,82.18
2020,77.37,82.21
2021,77.42,82.25
2022,77.47,82.29
2023,77.51,82.32
2024,77.56,82.36
2025,77.61,82.4
2026,77.65,82.43
2027,77.7,82.47
2028,77.75,82.5
2029,77.79,82.54
2030,77.84,82.57
2031,77.88,82.61
2032,77.92,82.64
2033,77.97,82.68
2034,78.01,82.71
2035,78.06,82.74
2036,78.1,82.78
2037,78.14,82.81
2038,78.18,82.84
2039,78.23,82.88
2040,78.27,82.91
2041,78.31,82.94
2042,78.35,82.97
2043,78.39,83.01
2044,78.43,83.04
2045,78.47,83.07
2046,78.51,83.1
2047,78.55,83.13
2048,78.59,83.16
2049,78.63,83.19
2050,78.67,83.22
2051,78.71,83.25
2052,78.75,83.28
2053,78.79,83.31
2054,78.83,83.34
2055,78.87,83.37
2056,78.91,83.4
2057,78.94,83.43
2058,78.98,83.46
2059,79.02,83.49
2060,79.06,83.52
2061,79.09,83.55
2062,79.13,83.58
2063,79.17,83.6
2064,79.2,83.63
2065,79.24,83.66
2066,79.27,83.69
2067,79.31,83.71
2068,79.35,83.74
2069,79.38,83.77
2070,79.42,83.8
2071,79.45,83.82
2072,79.48,83.85
2073,79.52,83.88
2074,79.55,83.9
2075,79.59,83.93
2076,79.62,83.96
2077,79.66,83.98
2078,79.69,84.01
2079,79.72,84.03
2080,79.76,84.06
