State,County,LifeExpectancy,LifeExpectancyStandardError
Alabama,"Autauga County, AL",75.32,1.69
Alabama,Baldwin County,,
Alabama,"Baldwin County, AL",77.48,1.57
Alabama,"Barbour County, AL",73.97,1.56
Alabama,"Bibb County, AL",73.55,1.64
Alabama,"Blount County, AL",76.08,1.32
Alabama,"Bullock County, AL",77.6,2.45
Alabama,"Butler County, AL",73.39,1.78
Alabama,"Calhoun County, AL",73.14,1.53
Alabama,"Chambers County, AL",73.61,1.65
Alabama,"Cherokee County, AL",74.08,1.41
Alabama,"Chilton County, AL",73.92,1.59
Alabama,"Choctaw County, AL",74.7,1.7
Alabama,"Clarke County, AL",74.39,1.96
Alabama,"Clay County, AL",74.6,1.53
Alabama,"Cleburne County, AL",73.3,1.48
Alabama,"Coffee County, AL",76.54,1.58
Alabama,"Colbert County, AL",73.63,1.55
Alabama,"Conecuh County, AL",73.46,2.08
Alabama,"Coosa County, AL",77.9,1.89
Alabama,"Covington County, AL",74.93,1.73
Alabama,"Crenshaw County, AL",74.52,1.86
Alabama,"Cullman County, AL",75.15,1.55
Alabama,"Dale County, AL",76.45,1.93
Alabama,"Dallas County, AL",72.47,1.84
Alabama,"DeKalb County, AL",75.02,1.29
Alabama,"Elmore County, AL",75.49,1.58
Alabama,"Escambia County, AL",73.53,1.59
Alabama,"Etowah County, AL",72.52,1.7
Alabama,"Fayette County, AL",73.42,1.28
Alabama,"Franklin County, AL",73.37,1.57
Alabama,"Geneva County, AL",74.82,1.04
Alabama,"Greene County, AL",75.45,1.77
Alabama,"Hale County, AL",75.48,2.09
Alabama,"Henry County, AL",75.82,1.88
Alabama,"Houston County, AL",75.97,1.36
Alabama,"Jackson County, AL",73.57,1.38
Alabama,"Jefferson County, AL",74.16,1.8
Alabama,"Lamar County, AL",74.87,1.76
Alabama,"Lauderdale County, AL",74.65,1.49
Alabama,"Lawrence County, AL",73.74,1.75
Alabama,"Lee County, AL",77.55,2.01
Alabama,"Limestone County, AL",75.98,1.57
Alabama,"Lowndes County, AL",73.7,1.92
Alabama,"Macon County, AL",73.07,2.29
Alabama,"Madison County, AL",76.8,1.75
Alabama,"Marengo County, AL",75.2,1.56
Alabama,"Marion County, AL",74.36,1.48
Alabama,"Marshall County, AL",74.83,1.39
Alabama,Mobile County,,
Alabama,"Mobile County, AL",74.16,1.78
Alabama,"Monroe County, AL",75.04,1.99
Alabama,"Montgomery County, AL",74.52,1.92
Alabama,"Morgan County, AL",75.65,1.77
Alabama,"Perry County, AL",73.9,1.79
Alabama,"Pickens County, AL",74.32,1.54
Alabama,"Pike County, AL",75.43,1.8
Alabama,"Randolph County, AL",74.45,1.39
Alabama,"Russell County, AL",72.8,1.59
Alabama,"Shelby County, AL",78.36,1.97
Alabama,"St. Clair County, AL",74.71,1.44
Alabama,"Sumter County, AL",75.88,2.4
Alabama,"Talladega County, AL",72.72,1.76
Alabama,"Tallapoosa County, AL",74.71,1.76
Alabama,"Tuscaloosa County, AL",75.02,1.75
Alabama,"Walker County, AL",71.44,1.46
Alabama,"Washington County, AL",74.88,1.73
Alabama,"Wilcox County, AL",74.25,1.89
Alabama,"Winston County, AL",74.98,1.61
Alaska,"Aleutians East Borough, AK",86.9,1.6
Alaska,"Aleutians West Census Area, AK",77.75,2.37
Alaska,"Anchorage Municipality, AK",78.03,2.02
Alaska,"Bethel Census Area, AK",78.73,2.01
Alaska,"Bristol Bay Borough, AK",79.9,3.43
Alaska,"Denali Borough, AK",,
Alaska,"Dillingham Census Area, AK",83.25,2.63
Alaska,"Fairbanks North Star Borough, AK",78.11,2.34
Alaska,"Haines Borough, AK",82.6,2.04
Alaska,"Hoonah-Angoon Census Area, AK",79.3,1.15
Alaska,"Juneau City and Borough, AK",81.17,2.4
Alaska,"Kenai Peninsula Borough, AK",80.17,1.89
Alaska,"Ketchikan Gateway Borough, AK",79.85,1.59
Alaska,"Kodiak Island Borough, AK",80.4,2.59
Alaska,"Kusilvak Census Area, AK",,
Alaska,"Lake and Peninsula Borough, AK",77.0,0.86
Alaska,"Matanuska-Susitna Borough, AK",78.99,2.06
Alaska,"Nome Census Area, AK",82.2,1.92
