State,County,LifeExpectancy,LifeExpectancyStandardError
Alabama,Autauga County,73.1,2.2348
Alabama,Autauga County,76.9,3.3453
Alabama,Autauga County,78.30946714719724,1.8558322362542448
Alabama,Autauga County,75.4,1.0216
Alabama,Autauga County,79.4,1.1768
Alabama,Autauga County,73.1,1.5519
Alabama,Autauga County,78.30946714719724,1.8558322362542448
Alabama,Autauga County,78.3,2.3861
Alabama,Autauga County,76.9,1.2628
Alabama,Autauga County,73.9,1.5923
Alabama,Autauga County,74.0,1.1528
Alabama,Autauga County,72.2,1.2242
Alabama,Baldwin County,75.2,1.0694
Alabama,Baldwin County,72.9,1.5489
Alabama,Baldwin County,75.0,1.0869
Alabama,Baldwin County,76.0,2.3248
Alabama,Baldwin County,78.0,1.1512
Alabama,Baldwin County,71.8,1.4764
Alabama,Baldwin County,79.6,1.026
Alabama,Baldwin County,80.1,1.267
Alabama,Baldwin County,81.0,1.982
Alabama,Baldwin County,77.7,0.8504
Alabama,Baldwin County,80.5,1.2963
Alabama,Baldwin County,76.9,1.4921
Alabama,Baldwin County,75.8,1.4416
Alabama,Baldwin County,78.9,1.6976
Alabama,Baldwin County,74.8,1.3785
Alabama,Baldwin County,72.1,3.0571
Alabama,Baldwin County,80.0,1.142
Alabama,Baldwin County,78.2,2.083
Alabama,Baldwin County,78.6,1.1644
Alabama,Baldwin County,80.4,1.7078
Alabama,Baldwin County,82.1,2.7204
Alabama,Baldwin County,78.7,1.9579
Alabama,Baldwin County,78.3,1.0261
Alabama,Baldwin County,77.8,1.4406
Alabama,Baldwin County,78.7,1.6989
Alabama,Baldwin County,79.1,1.7022
Alabama,Baldwin County,78.30946714719724,1.8558322362542448
Alabama,Baldwin County,78.5,1.6797
Alabama,Baldwin County,75.7,1.456
Alabama,Baldwin County,74.6,1.5336
Alabama,Baldwin County,78.30946714719724,1.8558322362542448
Alabama,Baldwin County,78.30946714719724,1.8558322362542448
Alabama,Barbour County,75.7,1.4584
Alabama,Barbour County,72.2,0.8552
Alabama,Barbour County,75.2,2.0085
Alabama,Barbour County,76.9,1.5291
Alabama,Barbour County,78.30946714719724,1.8558322362542448
Alabama,Barbour County,71.2,1.9638
Alabama,Barbour County,73.1,1.9222
Alabama,Barbour County,78.30946714719724,1.8558322362542448
Alabama,Barbour County,73.5,1.1985
Alabama,Bibb County,70.9,2.0776
Alabama,Bibb County,74.4,1.3347
Alabama,Bibb County,75.1,2.0507
Alabama,Bibb County,73.8,1.1071
Alabama,Blount County,77.5,1.7379
Alabama,Blount County,75.6,1.0824
Alabama,Blount County,76.9,1.3941
Alabama,Blount County,77.1,0.8149
Alabama,Blount County,73.2,1.2177
Alabama,Blount County,75.7,1.1046
Alabama,Blount County,77.8,2.2247
Alabama,Blount County,77.3,1.258
Alabama,Blount County,73.6,1.0152
Alabama,Bullock County,78.5,3.2116
Alabama,Bullock County,76.3,1.2474
Alabama,Bullock County,78.0,2.884
Alabama,Butler County,73.8,1.8763
Alabama,Butler County,78.1,2.0273
Alabama,Butler County,73.2,1.9614
Alabama,Butler County,71.2,1.7428
Alabama,Butler County,71.4,1.6759
Alabama,Butler County,74.1,1.5312
Alabama,Butler County,72.7,1.5978
Alabama,Butler County,72.6,1.8279
Alabama,Butler County,78.30946714719724,1.8558322362542448
Alabama,Calhoun County,75.6,1.78
Alabama,Calhoun County,67.1,1.6994
Alabama,Calhoun County,69.9,1.6385
Alabama,Calhoun County,78.30946714719724,1.8558322362542448
Alabama,Calhoun County,68.3,1.5562
Alabama,Calhoun County,70.1,1.4806
Alabama,Calhoun County,67.8,2.3619
Alabama,Calhoun County,79.7,1.5121
Alabama,Calhoun County,76.7,1.9169
Alabama,Calhoun County,75.1,1.1084
Alabama,Calhoun County,72.7,1.1638
