ToDrop,State,County,LifeExpectancy,LifeExpectancyStandardError
1,Alabama,"Autauga County, AL",73.1,2.2348
2,Alabama,"Autauga County, AL",76.9,3.3453
3,Alabama,"Autauga County, AL",78.30946714719724,1.8558322362542448
4,Alabama,"Autauga County, AL",75.4,1.0216
5,Alabama,"Autauga County, AL",79.4,1.1768
6,Alabama,"Autauga County, AL",73.1,1.5519
7,Alabama,"Autauga County, AL",78.30946714719724,1.8558322362542448
8,Alabama,"Autauga County, AL",78.3,2.3861
9,Alabama,"Autauga County, AL",76.9,1.2628
10,Alabama,"Autauga County, AL",73.9,1.5923
11,Alabama,"Autauga County, AL",74.0,1.1528
12,Alabama,"Autauga County, AL",72.2,1.2242
13,Alabama,"Baldwin County, AL",75.2,1.0694
14,Alabama,"Baldwin County, AL",72.9,1.5489
15,Alabama,"Baldwin County, AL",75.0,1.0869
16,Alabama,"Baldwin County, AL",76.0,2.3248
17,Alabama,"Baldwin County, AL",78.0,1.1512
18,Alabama,"Baldwin County, AL",71.8,1.4764
19,Alabama,"Baldwin County, AL",79.6,1.026
20,Alabama,"Baldwin County, AL",80.1,1.267
21,Alabama,"Baldwin County, AL",81.0,1.982
22,Alabama,"Baldwin County, AL",77.7,0.8504
23,Alabama,"Baldwin County, AL",80.5,1.2963
24,Alabama,"Baldwin County, AL",76.9,1.4921
25,Alabama,"Baldwin County, AL",75.8,1.4416
26,Alabama,"Baldwin County, AL",78.9,1.6976
27,Alabama,"Baldwin County, AL",74.8,1.3785
28,Alabama,"Baldwin County, AL",72.1,3.0571
29,Alabama,"Baldwin County, AL",80.0,1.142
30,Alabama,"Baldwin County, AL",78.2,2.083
31,Alabama,"Baldwin County, AL",78.6,1.1644
32,Alabama,"Baldwin County, AL",80.4,1.7078
33,Alabama,"Baldwin County, AL",82.1,2.7204
34,Alabama,"Baldwin County, AL",78.7,1.9579
35,Alabama,"Baldwin County, AL",78.3,1.0261
36,Alabama,"Baldwin County, AL",77.8,1.4406
37,Alabama,"Baldwin County, AL",78.7,1.6989
38,Alabama,"Baldwin County, AL",79.1,1.7022
39,Alabama,"Baldwin County, AL",78.30946714719724,1.8558322362542448
40,Alabama,"Baldwin County, AL",78.5,1.6797
41,Alabama,"Baldwin County, AL",75.7,1.456
42,Alabama,"Baldwin County, AL",74.6,1.5336
43,Alabama,"Baldwin County, AL",78.30946714719724,1.8558322362542448
44,Alabama,Baldwin County,78.30946714719724,1.8558322362542448
45,Alabama,"Barbour County, AL",75.7,1.4584
46,Alabama,"Barbour County, AL",72.2,0.8552
47,Alabama,"Barbour County, AL",75.2,2.0085
48,Alabama,"Barbour County, AL",76.9,1.5291
49,Alabama,"Barbour County, AL",78.30946714719724,1.8558322362542448
50,Alabama,"Barbour County, AL",71.2,1.9638
51,Alabama,"Barbour County, AL",73.1,1.9222
52,Alabama,"Barbour County, AL",78.30946714719724,1.8558322362542448
53,Alabama,"Barbour County, AL",73.5,1.1985
54,Alabama,"Bibb County, AL",70.9,2.0776
55,Alabama,"Bibb County, AL",74.4,1.3347
56,Alabama,"Bibb County, AL",75.1,2.0507
57,Alabama,"Bibb County, AL",73.8,1.1071
58,Alabama,"Blount County, AL",77.5,1.7379
59,Alabama,"Blount County, AL",75.6,1.0824
60,Alabama,"Blount County, AL",76.9,1.3941
61,Alabama,"Blount County, AL",77.1,0.8149
62,Alabama,"Blount County, AL",73.2,1.2177
63,Alabama,"Blount County, AL",75.7,1.1046
64,Alabama,"Blount County, AL",77.8,2.2247
65,Alabama,"Blount County, AL",77.3,1.258
66,Alabama,"Blount County, AL",73.6,1.0152
67,Alabama,"Bullock County, AL",78.5,3.2116
68,Alabama,"Bullock County, AL",76.3,1.2474
69,Alabama,"Bullock County, AL",78.0,2.884
70,Alabama,"Butler County, AL",73.8,1.8763
71,Alabama,"Butler County, AL",78.1,2.0273
72,Alabama,"Butler County, AL",73.2,1.9614
73,Alabama,"Butler County, AL",71.2,1.7428
74,Alabama,"Butler County, AL",71.4,1.6759
75,Alabama,"Butler County, AL",74.1,1.5312
76,Alabama,"Butler County, AL",72.7,1.5978
77,Alabama,"Butler County, AL",72.6,1.8279
78,Alabama,"Butler County, AL",78.30946714719724,1.8558322362542448
79,Alabama,"Calhoun County, AL",75.6,1.78
80,Alabama,"Calhoun County, AL",67.1,1.6994
81,Alabama,"Calhoun County, AL",69.9,1.6385
82,Alabama,"Calhoun County, AL",78.30946714719724,1.8558322362542448
83,Alabama,"Calhoun County, AL",68.3,1.5562
84,Alabama,"Calhoun County, AL",70.1,1.4806
85,Alabama,"Calhoun County, AL",67.8,2.3619
86,Alabama,"Calhoun County, AL",79.7,1.5121
87,Alabama,"Calhoun County, AL",76.7,1.9169
88,Alabama,"Calhoun County, AL",75.1,1.1084
89,Alabama,"Calhoun County, AL",72.7,1.1638
90,Alabama,"Calhoun County, AL",77.2,1.6017
91,Alabama,"Calhoun County, AL",67.9,1.8165
92,Alabama,"Calhoun County, AL",72.3,1.4014
93,Alabama,"Calhoun County, AL",73.0,1.5033
94,Alabama,"Calhoun County, AL",71.9,1.3045
95,Alabama,"Calhoun County, AL",74.7,1.2796
96,Alabama,"Calhoun County, AL",74.4,1.0722
97,Alabama,"Calhoun County, AL",74.2,1.4786
98,Alabama,"Calhoun County, AL",72.9,1.7036
99,Alabama,"Calhoun County, AL",77.8,1.5292
100,Alabama,"Calhoun County, AL",75.2,1.3323
101,Alabama,"Calhoun County, AL",68.1,1.6702
102,Alabama,"Calhoun County, AL",78.30946714719724,1.8558322362542448
103,Alabama,"Calhoun County, AL",74.2,1.5232
104,Alabama,"Calhoun County, AL",76.1,1.1811
105,Alabama,"Calhoun County, AL",75.5,1.6819
106,Alabama,"Calhoun County, AL",78.30946714719724,1.8558322362542448
107,Alabama,"Calhoun County, AL",78.30946714719724,1.8558322362542448
108,Alabama,"Calhoun County, AL",78.30946714719724,1.8558322362542448
109,Alabama,"Calhoun County, AL",78.30946714719724,1.8558322362542448
110,Alabama,"Chambers County, AL",77.7,1.7896
111,Alabama,"Chambers County, AL",77.0,2.1922
112,Alabama,"Chambers County, AL",76.5,1.4008
113,Alabama,"Chambers County, AL",71.2,1.2792
114,Alabama,"Chambers County, AL",73.4,1.2923
115,Alabama,"Chambers County, AL",70.8,2.7387
116,Alabama,"Chambers County, AL",70.0,1.4648
117,Alabama,"Chambers County, AL",72.9,1.2566
118,Alabama,"Chambers County, AL",73.0,1.4456
119,Alabama,"Cherokee County, AL",74.6,1.2364
120,Alabama,"Cherokee County, AL",74.0,1.4162
121,Alabama,"Cherokee County, AL",74.8,1.3481
122,Alabama,"Cherokee County, AL",72.8,1.4518
123,Alabama,"Cherokee County, AL",73.6,1.2709
124,Alabama,"Cherokee County, AL",74.7,1.7416
125,Alabama,"Chilton County, AL",71.5,1.4123
126,Alabama,"Chilton County, AL",72.9,1.0839
127,Alabama,"Chilton County, AL",74.4,1.8884
128,Alabama,"Chilton County, AL",74.8,2.5268
129,Alabama,"Chilton County, AL",75.7,0.8509
130,Alabama,"Chilton County, AL",74.9,1.5128
131,Alabama,"Chilton County, AL",72.8,1.9305
132,Alabama,"Chilton County, AL",73.7,1.8221
133,Alabama,"Chilton County, AL",74.6,1.3193
134,Alabama,"Choctaw County, AL",73.6,1.7823
135,Alabama,"Choctaw County, AL",75.0,1.3767
136,Alabama,"Choctaw County, AL",75.0,1.6967
137,Alabama,"Choctaw County, AL",75.2,1.9433
138,Alabama,"Clarke County, AL",76.4,2.1276
139,Alabama,"Clarke County, AL",70.9,2.2527
140,Alabama,"Clarke County, AL",76.6,1.5499
141,Alabama,"Clarke County, AL",76.4,2.302
142,Alabama,"Clarke County, AL",73.4,1.2631
143,Alabama,"Clarke County, AL",78.30946714719724,1.8558322362542448
144,Alabama,"Clarke County, AL",76.1,1.3953
145,Alabama,"Clarke County, AL",69.7,2.5666
146,Alabama,"Clarke County, AL",75.6,2.2557
147,Alabama,"Clay County, AL",74.1,1.071
148,Alabama,"Clay County, AL",75.9,1.3497
149,Alabama,"Clay County, AL",74.6,1.738
150,Alabama,"Clay County, AL",73.8,1.9612
151,Alabama,"Cleburne County, AL",71.3,1.7624
152,Alabama,"Cleburne County, AL",71.7,1.3287
153,Alabama,"Cleburne County, AL",73.4,1.3515
154,Alabama,"Cleburne County, AL",76.8,1.4711
155,Alabama,"Coffee County, AL",74.2,1.5523
156,Alabama,"Coffee County, AL",76.6,1.4767
157,Alabama,"Coffee County, AL",77.1,0.885
158,Alabama,"Coffee County, AL",73.6,1.361
159,Alabama,"Coffee County, AL",74.1,1.2345
160,Alabama,"Coffee County, AL",77.1,2.4102
161,Alabama,"Coffee County, AL",78.4,1.3754
162,Alabama,"Coffee County, AL",78.5,1.7241
163,Alabama,"Coffee County, AL",75.6,1.4996
164,Alabama,"Coffee County, AL",75.2,1.2615
165,Alabama,"Coffee County, AL",78.9,1.911
166,Alabama,"Coffee County, AL",81.1,1.2092
167,Alabama,"Coffee County, AL",79.2,3.0678
168,Alabama,"Coffee County, AL",71.9,1.2138
169,Alabama,"Colbert County, AL",72.3,1.4305
170,Alabama,"Colbert County, AL",74.5,1.0247
171,Alabama,"Colbert County, AL",67.2,1.8263
172,Alabama,"Colbert County, AL",74.6,2.9177
173,Alabama,"Colbert County, AL",73.7,1.5679
174,Alabama,"Colbert County, AL",73.2,1.2086
175,Alabama,"Colbert County, AL",75.9,1.4144
176,Alabama,"Colbert County, AL",73.9,1.1503
177,Alabama,"Colbert County, AL",77.1,1.6305
178,Alabama,"Colbert County, AL",75.7,1.1851
179,Alabama,"Colbert County, AL",73.2,1.2959
180,Alabama,"Colbert County, AL",72.5,1.4501
181,Alabama,"Colbert County, AL",75.5,2.2052
182,Alabama,"Colbert County, AL",71.5,1.3336
183,Alabama,"Conecuh County, AL",75.4,1.8406
184,Alabama,"Conecuh County, AL",73.2,2.4705
185,Alabama,"Conecuh County, AL",74.6,1.6061
186,Alabama,"Conecuh County, AL",74.2,3.0407
187,Alabama,"Conecuh County, AL",69.9,1.4598
188,Alabama,"Coosa County, AL",73.9,1.4342
189,Alabama,"Coosa County, AL",79.6,2.1955
190,Alabama,"Coosa County, AL",80.2,2.0403
191,Alabama,"Covington County, AL",76.4,1.5662
192,Alabama,"Covington County, AL",76.6,1.4266
193,Alabama,"Covington County, AL",73.6,1.6781
194,Alabama,"Covington County, AL",75.6,1.5902
195,Alabama,"Covington County, AL",73.7,1.3739
196,Alabama,"Covington County, AL",78.30946714719724,1.8558322362542448
197,Alabama,"Covington County, AL",76.1,1.4954
198,Alabama,"Covington County, AL",78.3,1.9395
199,Alabama,"Covington County, AL",72.0,2.0291
200,Alabama,"Covington County, AL",70.6,2.0018
201,Alabama,"Covington County, AL",72.3,1.8122
202,Alabama,"Covington County, AL",77.1,2.2348
203,Alabama,"Covington County, AL",78.0,1.9989
204,Alabama,"Covington County, AL",73.8,1.3823
205,Alabama,"Crenshaw County, AL",73.3,2.6634
206,Alabama,"Crenshaw County, AL",72.1,1.6216
207,Alabama,"Crenshaw County, AL",74.3,1.6469
208,Alabama,"Crenshaw County, AL",76.7,1.4113
209,Alabama,"Crenshaw County, AL",73.8,2.0119
210,Alabama,"Crenshaw County, AL",76.9,1.7778
211,Alabama,"Cullman County, AL",72.2,1.3515
212,Alabama,"Cullman County, AL",75.6,1.0562
213,Alabama,"Cullman County, AL",77.6,1.1795
